what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436809265
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485436815906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436836421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436869000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1485436869140
jar,m2e.packaging,org.eclipse.m2e.core,1.0.200,"jar",1485436869875
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1485436869875
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1485436869875
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:3.3",1485436869875
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1485436869875
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:3.3",1485436869875
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-surefire-plugin:2.7.1",1485436869875
jar:default-jar:package,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-jar-plugin:2.3.1",1485436869875
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1485436869875
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-deploy-plugin:2.5",1485436869875
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1485436869875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436871015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436871781
error,log,,,"Core exception while retrieving the content description",1485436872015
error,log,,,"Core exception while retrieving the content description",1485436872015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436872968
error,log,,,"Core exception while retrieving the content description",1485436873140
error,log,,,"Core exception while retrieving the content description",1485436873187
error,log,,,"Core exception while retrieving the content description",1485436873203
error,log,,,"Core exception while retrieving the content description",1485436873203
error,log,,,"Core exception while retrieving the content description",1485436873203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436873312
opened,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485436884531
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485436885187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436885203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436927046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1485436939140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485436940343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436942187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436950734
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485436962703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436980796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485436985500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485436987984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1485436988562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1485436989203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1485436990046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437001968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437002015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437009390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437010453
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437011171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437011671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437013171
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485437016296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437018562
jar,m2e.packaging,org.eclipse.m2e.core,1.0.200,"jar",1485437022734
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1485437022734
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1485437022734
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:3.3",1485437022734
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1485437022734
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:3.3",1485437022734
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-surefire-plugin:2.7.1",1485437022734
jar:default-jar:package,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-jar-plugin:2.3.1",1485437022734
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1485437022734
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-deploy-plugin:2.5",1485437022734
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1485437022734
jar,m2e.packaging,org.eclipse.m2e.core,1.0.200,"jar",1485437022734
clean:default-clean:clean,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-clean-plugin:2.4.1",1485437022734
resources:default-resources:process-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1485437022734
compile:default-compile:compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:3.3",1485437022734
testResources:default-testResources:process-test-resources,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-resources-plugin:2.4.3",1485437022734
testCompile:default-testCompile:test-compile,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-compiler-plugin:3.3",1485437022734
test:default-test:test,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-surefire-plugin:2.12.3",1485437022734
jar:default-jar:package,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-jar-plugin:2.3.1",1485437022734
install:default-install:install,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-install-plugin:2.3.1",1485437022734
deploy:default-deploy:deploy,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-deploy-plugin:2.5",1485437022734
site:default-site:site,m2e.plugins,org.eclipse.m2e.core,1.0.200,"org.apache.maven.plugins:maven-site-plugin:2.0.1",1485437022734
pom,m2e.packaging,org.eclipse.m2e.core,1.0.200,"pom",1485437022734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437025062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437032203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437133234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437134390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437142125
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437147000
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437163312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485437195625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437202734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437262265
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437264968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485437278000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437291593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437292328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437293234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437305375
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437308328
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437309593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437320140
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437321328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437328343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437328734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437329000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437329187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437329515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437329718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437329890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1485437330781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485437335031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485437335031
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437339250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437341593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1485437341812
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437348156
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437355515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437357750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1485437357843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437361671
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437362687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437364359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1485437364437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437368437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437372265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437386734
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485437389484
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437399171
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437412046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1485437422218
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437424375
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1485437427593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485437429000
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437432015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1485437441828
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437443953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1485437451406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485437453078
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437464921
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437473921
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437482250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1485437503234
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1485437505828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1485437514187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1485437515890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437520296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437540375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437542468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437811171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485437813640
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485437843671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1485437847343
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1485437848750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437858343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437859968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437869562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437896593
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1485437899187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485437906828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485441872703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485441883093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485442010609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485442037953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485442960906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443009531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443032953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443045578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443090937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443099906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443120671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443121203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443136640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443144734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443170359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443180328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443207796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443208359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443216093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443222109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443244718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485443248093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485444255031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1485444258968
